Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Kod stacji,DsGlogWiStwo,DsLegAlRzecz,DsOsieczow21,DsPolKasztan,DsWalbrzWyso,DsWrocWybCon,KpBydWarszaw,KpNaklWawrzy,KpToruDziewu,KpWloclGniaz,KpZielBoryTu,LbChelmPolan,LbLubSliwins,LdLodzLegion,LdPioTrKraPr,LuGorzKosGdy,LuMiedzyrMOB,LuNowaSolKos,LuWsKaziWiel,LuZarySzyman,LuZielKrotka,MpKrakBujaka,MpKrakBulwar,MpKrakWadow,MpTarBitStud,MpTrzebOsZWM,MzOtwoBrzozo,MzPlocKroJad,MzRad25Czerw,MzWarAKrzywo,OpKKozBSmial,OpOpoleOsAKr,PdBialPPiech,PdLomSikorsk,PkKrosKletow,PkMielPogodn,PkRzeszRejta,PmGdaLeczkow,PmLebMalczew,SkKielTargow,SkStaraZlota,SlBielKossak,SlCzestoBacz,SlDabroTysia,SlGodGliniki,SlKatoKossut,SlPszczBoged,SlRybniBorki,SlTarnoLitew,WmElbBazynsk,WmNiTraugutt,WmOlsPuszkin,WmPuszczaBor,WpKaliSawick,WpPleszAlMic,WpPoznSpycha,ZpKoszChopin,ZpSzczAndrze,ZpSzczec1Maj
Wskaźnik,As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10),As(PM10)
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
Jednostka,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3
Kod stanowiska,DsGlogWiStwo-As(PM10)-24g,DsLegAlRzecz-As(PM10)-24g,DsOsieczow21-As(PM10)-24g,DsPolKasztan-As(PM10)-24g,DsWalbrzWyso-As(PM10)-24g,DsWrocWybCon-As(PM10)-24g,KpBydWarszaw-As(PM10)-24g,KpNaklWawrzy-As(PM10)-24g,KpToruDziewu-As(PM10)-24g,KpWloclGniaz-As(PM10)-24g,KpZielBoryTu-As(PM10)-24g,LbChelmPolan-As(PM10)-24g,LbLubSliwins-As(PM10)-24g,LdLodzLegion-As(PM10)-24g,LdPioTrKraPr-As(PM10)-24g,LuGorzKosGdy-As(PM10)-24g,LuMiedzyrMOB-As(PM10)-24g,LuNowaSolKos-As(PM10)-24g,LuWsKaziWiel-As(PM10)-24g,LuZarySzyman-As(PM10)-24g,LuZielKrotka-As(PM10)-24g,MpKrakBujaka-As(PM10)-24g,MpKrakBulwar-As(PM10)-24g,MpKrakWadow-As(PM10)-24g,MpTarBitStud-As(PM10)-24g,MpTrzebOsZWM-As(PM10)-24g,MzOtwoBrzozo-As(PM10)-24g,MzPlocKroJad-As(PM10)-24g,MzRad25Czerw-As(PM10)-24g,MzWarAKrzywo-As(PM10)-24g,OpKKozBSmial-As(PM10)-24g,OpOpoleOsAKr-As(PM10)-24g,PdBialPPiech-As(PM10)-24g,PdLomSikorsk-As(PM10)-24g,PkKrosKletow-As(PM10)-24g,PkMielPogodn-As(PM10)-24g,PkRzeszRejta-As(PM10)-24g,PmGdaLeczkow-As(PM10)-24g,PmLebMalczew-As(PM10)-24g,SkKielTargow-As(PM10)-24g,SkStaraZlota-As(PM10)-24g,SlBielKossak-As(PM10)-24g,SlCzestoBacz-As(PM10)-24g,SlDabroTysia-As(PM10)-24g,SlGodGliniki-As(PM10)-24g,SlKatoKossut-As(PM10)-24g,SlPszczBoged-As(PM10)-24g,SlRybniBorki-As(PM10)-24g,SlTarnoLitew-As(PM10)-24g,WmElbBazynsk-As(PM10)-24g,WmNiTraugutt-As(PM10)-24g,WmOlsPuszkin-As(PM10)-24g,WmPuszczaBor-As(PM10)-24g,WpKaliSawick-As(PM10)-24g,WpPleszAlMic-As(PM10)-24g,WpPoznSpycha-As(PM10)-24g,ZpKoszChopin-As(PM10)-24g,ZpSzczAndrze-As(PM10)-24g,ZpSzczec1Maj-As(PM10)-24g
01/01/23 12:00,1.57,13.38,0.79,1.78,1.02,1.1399999999999999,1.67,1.5,1.73,1.48,0.14000000000000001,0.5,0.5,1.37,1.9,,,,,,,1.35,1.7,1.53,0.5,1.79,0.5,,0.5,0.5,,0.5,,,0.5,0.5,0.5,0.5,,,,0.5,3.97,2.16,3.59,2.94,3.22,1.99,1.98,1.33,1.04,0.5,,,,,0.5,0.5,0.5
01/02/23 12:00,5.93,3.79,1.81,3.2,0.5,3,4.3899999999999997,2.4500000000000002,1.1299999999999999,1.2,0.45,0.5,0.5,1.51,1.71,1.2,,8.5500000000000007,6.23,0.5,2.66,1.59,1.94,1.81,0.5,1.76,0.5,,1.03,0.5,2.41,2.13,,,0.5,1.02,,1.01,1.4,1.84,1.21,1.57,1.44,1.38,0.7,1.39,1.89,5.08,2.89,0.5,0.5,0.5,0.34,3.24,,1.68,0.5,0.5,1.1399999999999999
01/03/23 12:00,5.93,3.79,1.81,3.2,0.5,3,4.3899999999999997,2.4500000000000002,1.1299999999999999,1.2,0.45,0.5,0.5,1.51,1.71,1.2,,8.5500000000000007,6.23,0.5,2.66,1.59,1.94,1.81,0.5,1.76,0.5,,1.03,0.5,2.41,2.13,,,0.5,1.02,1.08,1.01,1.4,1.84,1.21,1.57,1.44,1.38,0.7,1.39,1.89,5.08,2.89,0.5,0.5,0.5,0.34,3.24,,1.68,0.5,0.5,1.1399999999999999
01/04/23 12:00,5.93,3.79,1.81,3.2,0.5,3,4.3899999999999997,2.4500000000000002,1.1299999999999999,1.2,0.45,0.5,0.5,1.51,1.71,1.2,,8.5500000000000007,6.23,0.5,2.66,1.59,1.94,1.81,0.5,1.76,0.5,,1.03,0.5,2.41,2.13,,,0.5,1.02,1.08,1.01,1.4,1.84,1.21,1.57,1.44,1.38,0.7,1.39,1.89,5.08,2.89,0.5,0.5,0.5,0.34,3.24,,1.68,0.5,0.5,1.1399999999999999
01/05/23 12:00,,3.79,1.81,3.2,0.5,3,4.3899999999999997,2.4500000000000002,1.1299999999999999,1.2,0.45,0.5,0.5,1.51,1.71,1.2,,8.5500000000000007,6.23,0.5,2.66,1.59,1.94,1.81,0.5,1.76,0.5,0.5,1.03,0.5,2.41,2.13,0.5,0.5,0.5,1.02,1.08,1.01,1.4,1.84,1.21,1.57,1.44,1.38,0.7,1.39,1.89,5.08,,0.5,0.5,0.5,0.34,3.24,3.71,1.68,0.5,0.5,1.1399999999999999
