Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Kod stacji,DsOsieczow21,DsWrocWybCon,KpNaklWawrzy,KpZielBoryTu,LbLubSliwins,LdLodzLegion,LuZielKrotka,MpKrakBujaka,MzWarAKrzywo,OpOpoleOsAKr,PdBialPPiech,PkRzeszRejta,PmGdaLeczkow,SkKielTargow,SlKatoKossut,WmOlsPuszkin,WmPuszczaBor,WpPoznSzyman,ZpSzczAndrze
Wskaźnik,BaA(PM10),BaA(PM10),BaA(PM10),BaA(PM10),BaA(PM10),BaA(PM10),BaA(PM10),BaA(PM10),BaA(PM10),BaA(PM10),BaA(PM10),BaA(PM10),BaA(PM10),BaA(PM10),BaA(PM10),BaA(PM10),BaA(PM10),BaA(PM10),BaA(PM10)
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
Jednostka,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3
Kod stanowiska,DsOsieczow21-BaA(PM10)-24g,DsWrocWybCon-BaA(PM10)-24g,KpNaklWawrzy-BaA(PM10)-24g,KpZielBoryTu-BaA(PM10)-24g,LbLubSliwins-BaA(PM10)-24g,LdLodzLegion-BaA(PM10)-24g,LuZielKrotka-BaA(PM10)-24g,MpKrakBujaka-BaA(PM10)-24g,MzWarAKrzywo-BaA(PM10)-24g,OpOpoleOsAKr-BaA(PM10)-24g,PdBialPPiech-BaA(PM10)-24g,PkRzeszRejta-BaA(PM10)-24g,PmGdaLeczkow-BaA(PM10)-24g,SkKielTargow-BaA(PM10)-24g,SlKatoKossut-BaA(PM10)-24g,WmOlsPuszkin-BaA(PM10)-24g,WmPuszczaBor-BaA(PM10)-24g,WpPoznSzyman-BaA(PM10)-24g,ZpSzczAndrze-BaA(PM10)-24g
01/01/23 12:00,0.12,,2.89,0.42,2.0299999999999998,2.67,,2.99,1.1599999999999999,1.27,,0.7,0.55000000000000004,,2.59,0.59,,,0.39
01/02/23 12:00,0.63,0.83,2.63,0.49,1.57,1.73,0.78,3.23,1.02,1.49,,,0.81,2.79,4.04,0.79,0.8,1.86,0.49
01/03/23 12:00,0.63,0.83,2.63,0.49,1.57,1.73,0.78,3.23,1.02,1.49,,,0.81,2.79,4.04,0.79,0.8,1.86,0.49
01/04/23 12:00,0.63,0.83,2.63,0.49,1.57,1.73,0.78,3.23,1.02,1.49,,,0.81,2.79,4.04,0.79,0.8,1.86,0.49
01/05/23 12:00,0.63,0.83,2.63,0.49,1.57,1.73,0.78,3.23,1.02,1.49,,,0.81,2.79,4.04,0.79,0.8,1.86,0.49
