Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Kod stacji,DsOsieczow21,DsWrocWybCon,KpNaklWawrzy,KpZielBoryTu,LbLubSliwins,LdLodzLegion,LuZielKrotka,MpKrakBujaka,MzWarAKrzywo,OpOpoleOsAKr,PdBialPPiech,PkRzeszRejta,PmGdaLeczkow,SkKielTargow,SlKatoKossut,WmOlsPuszkin,WmPuszczaBor,WpPoznSzyman,ZpSzczAndrze
Wskaźnik,BbF(PM10),BbF(PM10),BbF(PM10),BbF(PM10),BbF(PM10),BbF(PM10),BbF(PM10),BbF(PM10),BbF(PM10),BbF(PM10),BbF(PM10),BbF(PM10),BbF(PM10),BbF(PM10),BbF(PM10),BbF(PM10),BbF(PM10),BbF(PM10),BbF(PM10)
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
Jednostka,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3
Kod stanowiska,DsOsieczow21-BbF(PM10)-24g,DsWrocWybCon-BbF(PM10)-24g,KpNaklWawrzy-BbF(PM10)-24g,KpZielBoryTu-BbF(PM10)-24g,LbLubSliwins-BbF(PM10)-24g,LdLodzLegion-BbF(PM10)-24g,LuZielKrotka-BbF(PM10)-24g,MpKrakBujaka-BbF(PM10)-24g,MzWarAKrzywo-BbF(PM10)-24g,OpOpoleOsAKr-BbF(PM10)-24g,PdBialPPiech-BbF(PM10)-24g,PkRzeszRejta-BbF(PM10)-24g,PmGdaLeczkow-BbF(PM10)-24g,SkKielTargow-BbF(PM10)-24g,SlKatoKossut-BbF(PM10)-24g,WmOlsPuszkin-BbF(PM10)-24g,WmPuszczaBor-BbF(PM10)-24g,WpPoznSzyman-BbF(PM10)-24g,ZpSzczAndrze-BbF(PM10)-24g
01/01/23 12:00,0.36,0.92,3.19,0.71,2.2200000000000002,2.97,,2.93,1.17,2.04,,1.4,0.83,,3.42,1.08,,,0.83
01/02/23 12:00,1.36,1.74,4.91,0.93,0.82,3.1,1.05,2.34,0.65,2.75,,,1.17,2.0099999999999998,5.13,1.1200000000000001,1.57,2.0099999999999998,1.2
01/03/23 12:00,1.36,1.74,4.91,0.93,0.82,3.1,1.05,2.34,0.65,2.75,,,1.17,2.0099999999999998,5.13,1.1200000000000001,1.57,2.0099999999999998,1.2
01/04/23 12:00,1.36,1.74,4.91,0.93,0.82,3.1,1.05,2.34,0.65,2.75,,,1.17,2.0099999999999998,5.13,1.1200000000000001,1.57,2.0099999999999998,1.2
01/05/23 12:00,1.36,1.74,4.91,0.93,0.82,3.1,1.05,2.34,0.65,2.75,,,1.17,2.0099999999999998,5.13,1.1200000000000001,1.57,2.0099999999999998,1.2
01/06/23 12:00,1.36,1.74,4.91,0.93,0.82,3.1,1.05,2.34,0.65,2.75,,,1.17,2.0099999999999998,5.13,1.1200000000000001,1.57,2.0099999999999998,1.2
01/07/23 12:00,1.36,1.74,4.91,0.93,0.82,3.1,1.05,2.34,0.65,2.75,,,1.17,2.0099999999999998,5.13,1.1200000000000001,1.57,2.0099999999999998,1.2
01/08/23 12:00,1.36,1.74,4.91,0.93,0.82,3.1,1.05,2.34,0.65,2.75,,,1.17,2.0099999999999998,5.13,1.1200000000000001,1.57,2.0099999999999998,1.2
01/09/23 12:00,0.63,1.0900000000000001,4.59,1.01,0.05,2.92,0.73,1.63,0.74,1.96,0.05,,1.1000000000000001,1.66,4.3499999999999996,1.28,2.2999999999999998,2.65,1.59
