Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Kod stacji,DsOsieczow21,DsWrocWybCon,KpNaklWawrzy,KpZielBoryTu,LbLubSliwins,LdLodzLegion,LuZielKrotka,MpKrakBujaka,MzWarAKrzywo,OpOpoleOsAKr,PdBialPPiech,PkRzeszRejta,PmGdaLeczkow,SkKielTargow,SlKatoKossut,WmOlsPuszkin,WmPuszczaBor,WpPoznSzyman,ZpSzczAndrze
Wskaźnik,BjF(PM10),BjF(PM10),BjF(PM10),BjF(PM10),BjF(PM10),BjF(PM10),BjF(PM10),BjF(PM10),BjF(PM10),BjF(PM10),BjF(PM10),BjF(PM10),BjF(PM10),BjF(PM10),BjF(PM10),BjF(PM10),BjF(PM10),BjF(PM10),BjF(PM10)
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
Jednostka,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3
Kod stanowiska,DsOsieczow21-BjF(PM10)-24g,DsWrocWybCon-BjF(PM10)-24g,KpNaklWawrzy-BjF(PM10)-24g,KpZielBoryTu-BjF(PM10)-24g,LbLubSliwins-BjF(PM10)-24g,LdLodzLegion-BjF(PM10)-24g,LuZielKrotka-BjF(PM10)-24g,MpKrakBujaka-BjF(PM10)-24g,MzWarAKrzywo-BjF(PM10)-24g,OpOpoleOsAKr-BjF(PM10)-24g,PdBialPPiech-BjF(PM10)-24g,PkRzeszRejta-BjF(PM10)-24g,PmGdaLeczkow-BjF(PM10)-24g,SkKielTargow-BjF(PM10)-24g,SlKatoKossut-BjF(PM10)-24g,WmOlsPuszkin-BjF(PM10)-24g,WmPuszczaBor-BjF(PM10)-24g,WpPoznSzyman-BjF(PM10)-24g,ZpSzczAndrze-BjF(PM10)-24g
01/01/23 12:00,0.15,,0.94,0.12,6.91,1.1000000000000001,,2.33,2.94,0.73,,0.2,0.56000000000000005,,2.64,0.66,,,0.31
01/02/23 12:00,0.45,0.7,1.21,0.37,1.77,0.53,0.88,2.91,1.5,0.89,,,0.78,2.39,4.3,0.76,0.54,1.77,0.47
01/03/23 12:00,0.45,0.7,1.21,0.37,1.77,0.53,0.88,2.91,1.5,0.89,,,0.78,2.39,4.3,0.76,0.54,1.77,0.47
01/04/23 12:00,0.45,0.7,1.21,0.37,1.77,0.53,0.88,2.91,1.5,0.89,,,0.78,2.39,4.3,0.76,0.54,1.77,0.47
01/05/23 12:00,0.45,0.7,1.21,0.37,1.77,0.53,0.88,2.91,1.5,0.89,,,0.78,2.39,4.3,0.76,0.54,1.77,0.47
01/06/23 12:00,0.45,0.7,1.21,0.37,1.77,0.53,0.88,2.91,1.5,0.89,,,0.78,2.39,4.3,0.76,0.54,1.77,0.47
01/07/23 12:00,0.45,0.7,1.21,0.37,1.77,0.53,0.88,2.91,1.5,0.89,,,0.78,2.39,4.3,0.76,0.54,1.77,0.47
01/08/23 12:00,0.45,0.7,1.21,0.37,1.77,0.53,0.88,2.91,1.5,0.89,,,0.78,2.39,4.3,0.76,0.54,1.77,0.47
01/09/23 12:00,0.3,0.42,1.36,0.45,0.28000000000000003,0.76,0.56000000000000005,2.39,1.58,0.68,0.25,,0.61,1.86,3.47,0.92,2.2400000000000002,1.56,0.72
01/10/23 12:00,0.3,0.42,1.36,0.45,0.28000000000000003,0.76,0.56000000000000005,2.39,1.58,0.68,0.25,,0.61,1.86,3.47,0.92,2.2400000000000002,1.56,0.72
01/11/23 12:00,0.3,0.42,1.36,0.45,0.28000000000000003,0.76,0.56000000000000005,2.39,1.58,0.68,0.25,0.27,0.61,1.86,3.47,0.92,2.2400000000000002,1.56,0.72
01/12/23 12:00,0.3,0.42,1.36,0.45,0.28000000000000003,0.76,0.56000000000000005,2.39,1.58,0.68,0.25,0.27,0.61,1.86,3.47,0.92,2.2400000000000002,1.56,0.72
01/13/23 12:00,0.3,0.42,1.36,0.45,0.28000000000000003,0.76,0.56000000000000005,2.39,1.58,0.68,0.25,0.27,0.61,1.86,,0.92,2.2400000000000002,1.56,0.72
01/14/23 12:00,0.3,0.42,1.36,0.45,0.28000000000000003,0.76,0.56000000000000005,2.39,1.58,0.68,0.25,0.27,0.61,1.86,3.47,0.92,2.2400000000000002,1.56,0.72
01/15/23 12:00,0.3,0.42,1.36,0.45,0.28000000000000003,0.76,0.56000000000000005,2.39,1.58,0.68,0.25,0.27,0.61,1.86,,0.92,2.2400000000000002,1.56,0.72
01/16/23 12:00,0.56000000000000005,1.1399999999999999,2.54,0.43,1.1200000000000001,0.73,1.22,2.86,1.63,1.54,0.48,0.7,0.92,2.0099999999999998,5.86,0.68,1.6,2.34,0.12
01/17/23 12:00,0.56000000000000005,1.1399999999999999,2.54,0.43,1.1200000000000001,0.73,1.22,2.86,1.63,1.54,0.48,0.7,0.92,2.0099999999999998,5.86,0.68,1.6,2.34,0.12
01/18/23 12:00,0.56000000000000005,1.1399999999999999,2.54,0.43,1.1200000000000001,0.73,1.22,2.86,1.63,1.54,0.48,0.7,0.92,2.0099999999999998,5.86,0.68,1.6,2.34,0.12
