Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Kod stacji,DsOsieczow21,DsWrocWybCon,KpNaklWawrzy,KpZielBoryTu,LbLubSliwins,LdLodzLegion,LuZielKrotka,MpKrakBujaka,MzWarAKrzywo,OpOpoleOsAKr,PdBialPPiech,PkRzeszRejta,PmGdaLeczkow,SkKielTargow,SlKatoKossut,WmOlsPuszkin,WmPuszczaBor,WpPoznSzyman,ZpSzczAndrze
Wskaźnik,BkF(PM10),BkF(PM10),BkF(PM10),BkF(PM10),BkF(PM10),BkF(PM10),BkF(PM10),BkF(PM10),BkF(PM10),BkF(PM10),BkF(PM10),BkF(PM10),BkF(PM10),BkF(PM10),BkF(PM10),BkF(PM10),BkF(PM10),BkF(PM10),BkF(PM10)
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
Jednostka,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3
Kod stanowiska,DsOsieczow21-BkF(PM10)-24g,DsWrocWybCon-BkF(PM10)-24g,KpNaklWawrzy-BkF(PM10)-24g,KpZielBoryTu-BkF(PM10)-24g,LbLubSliwins-BkF(PM10)-24g,LdLodzLegion-BkF(PM10)-24g,LuZielKrotka-BkF(PM10)-24g,MpKrakBujaka-BkF(PM10)-24g,MzWarAKrzywo-BkF(PM10)-24g,OpOpoleOsAKr-BkF(PM10)-24g,PdBialPPiech-BkF(PM10)-24g,PkRzeszRejta-BkF(PM10)-24g,PmGdaLeczkow-BkF(PM10)-24g,SkKielTargow-BkF(PM10)-24g,SlKatoKossut-BkF(PM10)-24g,WmOlsPuszkin-BkF(PM10)-24g,WmPuszczaBor-BkF(PM10)-24g,WpPoznSzyman-BkF(PM10)-24g,ZpSzczAndrze-BkF(PM10)-24g
01/01/23 12:00,0.14000000000000001,,1.88,0.39,0.97,1.66,,1.62,0.51,0.82,,0.6,0.52,,1.71,0.57999999999999996,,,0.31
01/02/23 12:00,0.57999999999999996,0.73,2.75,0.55000000000000004,0.67,1.62,0.56999999999999995,1.41,0.52,1.1200000000000001,,,0.71,1.1499999999999999,2.33,0.68,0.71,1.03,0.57999999999999996
01/03/23 12:00,0.57999999999999996,0.73,2.75,0.55000000000000004,0.67,1.62,0.56999999999999995,1.41,0.52,1.1200000000000001,,,0.71,1.1499999999999999,2.33,0.68,0.71,1.03,0.57999999999999996
01/04/23 12:00,0.57999999999999996,0.73,2.75,0.55000000000000004,0.67,1.62,0.56999999999999995,1.41,0.52,1.1200000000000001,,,0.71,1.1499999999999999,2.33,0.68,0.71,1.03,0.57999999999999996
01/05/23 12:00,0.57999999999999996,0.73,2.75,0.55000000000000004,0.67,1.62,0.56999999999999995,1.41,0.52,1.1200000000000001,,,0.71,1.1499999999999999,2.33,0.68,0.71,1.03,0.57999999999999996
