Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Kod stacji,DsGlogWiStwo,DsLegAlRzecz,DsOsieczow21,DsPolKasztan,DsWalbrzWyso,DsWrocWybCon,KpBydWarszaw,KpNaklWawrzy,KpToruDziewu,KpWloclGniaz,KpZielBoryTu,LbChelmPolan,LbLubSliwins,LdLodzLegion,LdPioTrKraPr,LuGorzKosGdy,LuMiedzyrMOB,LuNowaSolKos,LuWsKaziWiel,LuZarySzyman,LuZielKrotka,MpKrakBujaka,MpKrakBulwar,MpKrakWadow,MpTarBitStud,MpTrzebOsZWM,MzOtwoBrzozo,MzPlocKroJad,MzRad25Czerw,MzWarAKrzywo,OpKKozBSmial,OpOpoleOsAKr,PdBialPPiech,PdLomSikorsk,PkKrosKletow,PkMielPogodn,PkRzeszRejta,PmGdaLeczkow,PmLebMalczew,SkKielTargow,SkStaraZlota,SlBielKossak,SlCzestoBacz,SlDabroTysia,SlGodGliniki,SlKatoKossut,SlPszczBoged,SlRybniBorki,SlTarnoLitew,WmElbBazynsk,WmNiTraugutt,WmOlsPuszkin,WmPuszczaBor,WpKaliSawick,WpPleszAlMic,WpPoznSpycha,ZpKoszChopin,ZpSzczAndrze,ZpSzczec1Maj
Wskaźnik,Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10),Cd(PM10)
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
Jednostka,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3
Kod stanowiska,DsGlogWiStwo-Cd(PM10)-24g,DsLegAlRzecz-Cd(PM10)-24g,DsOsieczow21-Cd(PM10)-24g,DsPolKasztan-Cd(PM10)-24g,DsWalbrzWyso-Cd(PM10)-24g,DsWrocWybCon-Cd(PM10)-24g,KpBydWarszaw-Cd(PM10)-24g,KpNaklWawrzy-Cd(PM10)-24g,KpToruDziewu-Cd(PM10)-24g,KpWloclGniaz-Cd(PM10)-24g,KpZielBoryTu-Cd(PM10)-24g,LbChelmPolan-Cd(PM10)-24g,LbLubSliwins-Cd(PM10)-24g,LdLodzLegion-Cd(PM10)-24g,LdPioTrKraPr-Cd(PM10)-24g,LuGorzKosGdy-Cd(PM10)-24g,LuMiedzyrMOB-Cd(PM10)-24g,LuNowaSolKos-Cd(PM10)-24g,LuWsKaziWiel-Cd(PM10)-24g,LuZarySzyman-Cd(PM10)-24g,LuZielKrotka-Cd(PM10)-24g,MpKrakBujaka-Cd(PM10)-24g,MpKrakBulwar-Cd(PM10)-24g,MpKrakWadow-Cd(PM10)-24g,MpTarBitStud-Cd(PM10)-24g,MpTrzebOsZWM-Cd(PM10)-24g,MzOtwoBrzozo-Cd(PM10)-24g,MzPlocKroJad-Cd(PM10)-24g,MzRad25Czerw-Cd(PM10)-24g,MzWarAKrzywo-Cd(PM10)-24g,OpKKozBSmial-Cd(PM10)-24g,OpOpoleOsAKr-Cd(PM10)-24g,PdBialPPiech-Cd(PM10)-24g,PdLomSikorsk-Cd(PM10)-24g,PkKrosKletow-Cd(PM10)-24g,PkMielPogodn-Cd(PM10)-24g,PkRzeszRejta-Cd(PM10)-24g,PmGdaLeczkow-Cd(PM10)-24g,PmLebMalczew-Cd(PM10)-24g,SkKielTargow-Cd(PM10)-24g,SkStaraZlota-Cd(PM10)-24g,SlBielKossak-Cd(PM10)-24g,SlCzestoBacz-Cd(PM10)-24g,SlDabroTysia-Cd(PM10)-24g,SlGodGliniki-Cd(PM10)-24g,SlKatoKossut-Cd(PM10)-24g,SlPszczBoged-Cd(PM10)-24g,SlRybniBorki-Cd(PM10)-24g,SlTarnoLitew-Cd(PM10)-24g,WmElbBazynsk-Cd(PM10)-24g,WmNiTraugutt-Cd(PM10)-24g,WmOlsPuszkin-Cd(PM10)-24g,WmPuszczaBor-Cd(PM10)-24g,WpKaliSawick-Cd(PM10)-24g,WpPleszAlMic-Cd(PM10)-24g,WpPoznSpycha-Cd(PM10)-24g,ZpKoszChopin-Cd(PM10)-24g,ZpSzczAndrze-Cd(PM10)-24g,ZpSzczec1Maj-Cd(PM10)-24g
01/01/23 12:00,0.1,0.39,0.04,0.1,0.1,0.1,0.1,0.1,0.1,0.25,0.01,0.1,0.1,0.26,0.32,,,,,,,0.21,0.28999999999999998,0.32,0.1,0.26,0.1,,0.28000000000000003,0.21,,0.1,,,0.1,0.1,0.1,0.1,,,,0.1,0.8,0.66,0.37,0.33,0.34,0.63,1.43,0.1,0.1,0.1,,,,,0.1,0.1,0.1
01/02/23 12:00,0.45,0.27,0.16,0.21,0.21,0.1,0.28000000000000003,0.33,0.1,0.25,0.05,0.1,0.1,0.39,0.36,0.1,,0.36,0.38,0.1,0.25,0.31,0.61,0.51,0.24,0.36,0.43,,0.35,0.21,0.1,0.1,,,0.28999999999999998,0.25,,0.1,0.7,0.28999999999999998,0.31,0.24,1.04,1.35,0.5,0.46,0.63,0.46,0.1,0.1,0.1,0.1,7.0000000000000007E-2,0.44,,0.27,0.1,0.1,0.1
01/03/23 12:00,0.45,0.27,0.16,0.21,0.21,0.1,0.28000000000000003,0.33,0.1,0.25,0.05,0.1,0.1,0.39,0.36,0.1,,0.36,0.38,0.1,0.25,0.31,0.61,0.51,0.24,0.36,0.43,,0.35,0.21,0.1,0.1,,,0.28999999999999998,0.25,0.36,0.1,0.7,0.28999999999999998,0.31,0.24,1.04,1.35,0.5,0.46,0.63,0.46,0.1,0.1,0.1,0.1,7.0000000000000007E-2,0.44,,0.27,0.1,0.1,0.1
01/04/23 12:00,0.45,0.27,0.16,0.21,0.21,0.1,0.28000000000000003,0.33,0.1,0.25,0.05,0.1,0.1,0.39,0.36,0.1,,0.36,0.38,0.1,0.25,0.31,0.61,0.51,0.24,0.36,0.43,,0.35,0.21,0.1,0.1,,,0.28999999999999998,0.25,0.36,0.1,0.7,0.28999999999999998,0.31,0.24,1.04,1.35,0.5,0.46,0.63,0.46,0.1,0.1,0.1,0.1,7.0000000000000007E-2,0.44,,0.27,0.1,0.1,0.1
01/05/23 12:00,,0.27,0.16,0.21,0.21,0.1,0.28000000000000003,0.33,0.1,0.25,0.05,0.1,0.1,0.39,0.36,0.1,,0.36,0.38,0.1,0.25,0.31,0.61,0.51,0.24,0.36,0.43,0.1,0.35,0.21,0.1,0.1,0.1,0.1,0.28999999999999998,0.25,0.36,0.1,0.7,0.28999999999999998,0.31,0.24,1.04,1.35,0.5,0.46,0.63,0.46,,0.1,0.1,0.1,7.0000000000000007E-2,0.44,0.41,0.27,0.1,0.1,0.1
