Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Kod stacji,DsOsieczow21,DsWrocWybCon,KpNaklWawrzy,KpZielBoryTu,LbLubSliwins,LdLodzLegion,LuZielKrotka,MpKrakBujaka,MzWarAKrzywo,OpOpoleOsAKr,PdBialPPiech,PkRzeszRejta,PmGdaLeczkow,SkKielTargow,SlKatoKossut,WmOlsPuszkin,WmPuszczaBor,WpPoznSzyman,ZpSzczAndrze
Wskaźnik,DBahA(PM10),DBahA(PM10),DBahA(PM10),DBahA(PM10),DBahA(PM10),DBahA(PM10),DBahA(PM10),DBahA(PM10),DBahA(PM10),DBahA(PM10),DBahA(PM10),DBahA(PM10),DBahA(PM10),DBahA(PM10),DBahA(PM10),DBahA(PM10),DBahA(PM10),DBahA(PM10),DBahA(PM10)
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
Jednostka,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3
Kod stanowiska,DsOsieczow21-DBahA(PM10)-24g,DsWrocWybCon-DBahA(PM10)-24g,KpNaklWawrzy-DBahA(PM10)-24g,KpZielBoryTu-DBahA(PM10)-24g,LbLubSliwins-DBahA(PM10)-24g,LdLodzLegion-DBahA(PM10)-24g,LuZielKrotka-DBahA(PM10)-24g,MpKrakBujaka-DBahA(PM10)-24g,MzWarAKrzywo-DBahA(PM10)-24g,OpOpoleOsAKr-DBahA(PM10)-24g,PdBialPPiech-DBahA(PM10)-24g,PkRzeszRejta-DBahA(PM10)-24g,PmGdaLeczkow-DBahA(PM10)-24g,SkKielTargow-DBahA(PM10)-24g,SlKatoKossut-DBahA(PM10)-24g,WmOlsPuszkin-DBahA(PM10)-24g,WmPuszczaBor-DBahA(PM10)-24g,WpPoznSzyman-DBahA(PM10)-24g,ZpSzczAndrze-DBahA(PM10)-24g
01/01/23 12:00,0.05,,0.51,0.13,0.76,0.4,,0.14000000000000001,0.28999999999999998,0.05,,0.05,0.05,,0.39,0.05,,,1.33
01/02/23 12:00,0.17,0.17,0.56000000000000005,0.09,0.62,0.32,0.56999999999999995,0.19,0.4,0.28000000000000003,,,0.05,0.05,0.56999999999999995,0.05,0.32,0.99,3.71
01/03/23 12:00,0.17,0.17,0.56000000000000005,0.09,0.62,0.32,0.56999999999999995,0.19,0.4,0.28000000000000003,,,0.05,0.05,0.56999999999999995,0.05,0.32,0.99,3.71
01/04/23 12:00,0.17,0.17,0.56000000000000005,0.09,0.62,0.32,0.56999999999999995,0.19,0.4,0.28000000000000003,,,0.05,0.05,0.56999999999999995,0.05,0.32,0.99,3.71
01/05/23 12:00,0.17,0.17,0.56000000000000005,0.09,0.62,0.32,0.56999999999999995,0.19,0.4,0.28000000000000003,,,0.05,0.05,0.56999999999999995,0.05,0.32,0.99,3.71
01/06/23 12:00,0.17,0.17,0.56000000000000005,0.09,0.62,0.32,0.56999999999999995,0.19,0.4,0.28000000000000003,,,0.05,0.05,0.56999999999999995,0.05,0.32,0.99,3.71
01/07/23 12:00,0.17,0.17,0.56000000000000005,0.09,0.62,0.32,0.56999999999999995,0.19,0.4,0.28000000000000003,,,0.05,0.05,0.56999999999999995,0.05,0.32,0.99,3.71
01/08/23 12:00,0.17,0.17,0.56000000000000005,0.09,0.62,0.32,0.56999999999999995,0.19,0.4,0.28000000000000003,,,0.05,0.05,0.56999999999999995,0.05,0.32,0.99,3.71
01/09/23 12:00,7.0000000000000007E-2,0.05,0.93,0.1,0.15,0.23,0.57199999999999995,0.25,0.56999999999999995,0.19,0.05,,0.05,0.14000000000000001,0.47,0.05,0.44,1.46,4.82
01/10/23 12:00,7.0000000000000007E-2,0.05,0.93,0.1,0.15,0.23,0.56999999999999995,0.25,0.56999999999999995,0.19,0.05,,0.05,0.14000000000000001,0.47,0.05,0.44,1.46,4.82
01/11/23 12:00,7.0000000000000007E-2,0.05,0.93,0.1,0.15,0.23,0.56999999999999995,0.25,0.56999999999999995,0.19,0.05,0.05,0.05,0.14000000000000001,0.47,0.05,0.44,1.46,4.82
01/12/23 12:00,7.0000000000000007E-2,0.05,0.93,0.1,0.15,0.23,0.56999999999999995,0.25,0.56999999999999995,0.19,0.05,0.05,0.05,0.14000000000000001,0.47,0.05,0.44,1.46,4.82
01/13/23 12:00,7.0000000000000007E-2,0.05,0.93,0.1,0.15,0.23,0.56999999999999995,0.25,0.56999999999999995,0.19,0.05,0.05,0.05,0.14000000000000001,,0.05,0.44,1.46,4.82
01/14/23 12:00,7.0000000000000007E-2,0.05,0.93,0.1,0.15,0.23,0.56999999999999995,0.25,0.56999999999999995,0.19,0.05,0.05,0.05,0.14000000000000001,0.47,0.05,0.44,1.46,4.82
01/15/23 12:00,7.0000000000000007E-2,0.05,0.93,0.1,0.15,0.23,0.56999999999999995,0.25,0.56999999999999995,0.19,0.05,0.05,0.05,0.14000000000000001,,0.05,0.44,1.46,4.82
01/16/23 12:00,0.22,0.27,1.0900000000000001,0.09,0.33,0.33,0.89,0.28999999999999998,0.28999999999999998,0.59,0.05,0.23,0.05,0.24,0.73,0.05,0.23300000000000001,1.67,2.1800000000000002
