,Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
,Kod stacji,DsOsieczow21,DsOsieczow21,DsOsieczow21,DsOsieczow21,DsOsieczow21,DsOsieczow21,DsOsieczow21,DsOsieczow21,DsOsieczow21,DsOsieczow21,DsOsieczow21,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,WmPuszczaBor,WmPuszczaBor,WmPuszczaBor,WmPuszczaBor,WmPuszczaBor,WmPuszczaBor,WmPuszczaBor,WmPuszczaBor,WmPuszczaBor,WmPuszczaBor,WmPuszczaBor
,Wskaźnik,As(cdepoz),BaA(cdepoz),BaP(cdepoz),BbF(cdepoz),BjF(cdepoz),BkF(cdepoz),Cd(cdepoz),DBahA(cdepoz),Hg(cdepoz),IP(cdepoz),Ni(cdepoz),As(cdepoz),BaA(cdepoz),BaP(cdepoz),BbF(cdepoz),BjF(cdepoz),BkF(cdepoz),Cd(cdepoz),DBahA(cdepoz),Hg(cdepoz),IP(cdepoz),Ni(cdepoz),As(cdepoz),BaA(cdepoz),BaP(cdepoz),BbF(cdepoz),BjF(cdepoz),BkF(cdepoz),Cd(cdepoz),DBahA(cdepoz),Hg(cdepoz),IP(cdepoz),Ni(cdepoz)
,Czas uśredniania,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m,1m
,Jednostka,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień,ug/m2/dzień
Data od,Data do,DsOsieczow21-As(cdepoz)-1m,DsOsieczow21-BaA(cdepoz)-1m,DsOsieczow21-BaP(cdepoz)-1m,DsOsieczow21-BbF(cdepoz)-1m,DsOsieczow21-BjF(cdepoz)-1m,DsOsieczow21-BkF(cdepoz)-1m,DsOsieczow21-Cd(cdepoz)-1m,DsOsieczow21-DBahA(cdepoz)-1m,DsOsieczow21-Hg(cdepoz)-1m,DsOsieczow21-IP(cdepoz)-1m,DsOsieczow21-Ni(cdepoz)-1m,KpZielBoryTu-As(cdepoz)-1m,KpZielBoryTu-BaA(cdepoz)-1m,KpZielBoryTu-BaP(cdepoz)-1m,KpZielBoryTu-BbF(cdepoz)-1m,KpZielBoryTu-BjF(cdepoz)-1m,KpZielBoryTu-BkF(cdepoz)-1m,KpZielBoryTu-Cd(cdepoz)-1m,KpZielBoryTu-DBahA(cdepoz)-1m,KpZielBoryTu-Hg(cdepoz)-1m,KpZielBoryTu-IP(cdepoz)-1m,KpZielBoryTu-Ni(cdepoz)-1m,WmPuszczaBor-As(cdepoz)-1m,WmPuszczaBor-BaA(cdepoz)-1m,WmPuszczaBor-BaP(cdepoz)-1m,WmPuszczaBor-BbF(cdepoz)-1m,WmPuszczaBor-BjF(cdepoz)-1m,WmPuszczaBor-BkF(cdepoz)-1m,WmPuszczaBor-Cd(cdepoz)-1m,WmPuszczaBor-DBahA(cdepoz)-1m,WmPuszczaBor-Hg(cdepoz)-1m,WmPuszczaBor-IP(cdepoz)-1m,WmPuszczaBor-Ni(cdepoz)-1m
01/01/23 12:00, 2023-01-01 24:00,0.440971,1.7E-5,5.7970000000000001E-3,2.6207999999999999E-2,4.1019999999999997E-3,6.5440000000000003E-3,5.1330000000000001E-2,2.1389999999999998E-3,7.7460000000000003E-3,8.012E-3,0.96010300000000004,,,,,,,,,,,,0.32819999999999999,5.3921999999999998E-2,5.561E-2,9.4335000000000002E-2,4.7504999999999999E-2,3.6135E-2,3.1257E-2,8.7810000000000006E-3,5.7829999999999999E-3,7.2720999999999994E-2,0.65639999999999998
01/01/23 12:00, 2023-01-02 24:00,,,,,,,,,,,,0.32916400000000001,5.7429999999999998E-3,5.7270000000000003E-3,9.92E-3,4.346E-3,3.6749999999999999E-3,3.4944999999999997E-2,5.5199999999999997E-4,1.4090000000000001E-3,6.2560000000000003E-3,0.28181800000000001,,,,,,,,,,,
01/02/23 12:00, 2023-01-29 24:00,0.69272800000000001,3.2849000000000003E-2,3.8485999999999999E-2,0.11369700000000001,4.1167000000000002E-2,4.5518999999999997E-2,6.7890000000000006E-2,2.8639999999999998E-3,8.5990000000000007E-3,5.4809999999999998E-2,0.88131099999999996,,,,,,,,,,,,0.28999999999999998,5.9735999999999997E-2,7.6383999999999994E-2,0.13922200000000001,8.4219000000000002E-2,4.8474999999999997E-2,0.20714299999999999,1.2078E-2,8.286E-3,0.103641,0.393571
01/03/23 12:00, 2023-01-31 24:00,,,,,,,,,,,,0.32586199999999999,1.0115000000000001E-2,1.1561999999999999E-2,2.4062E-2,1.0871E-2,1.0128E-2,1.6292999999999998E-2,1.225E-3,1.3034E-2,2.0829E-2,0.65172399999999997,,,,,,,,,,,
01/30/23 12:00, 2023-02-26 24:00,,,,,,,,,,,,,,,,,,,,,,,0.20749999999999999,3.6566000000000001E-2,3.7074000000000003E-2,7.2116E-2,4.2320999999999998E-2,2.6238999999999998E-2,0.18675,6.0939999999999996E-3,1.66E-2,5.2478999999999998E-2,0.53949999999999998
