Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Kod stacji,DsOsieczow21,DsWrocWybCon,KpNaklWawrzy,KpZielBoryTu,LbLubSliwins,LdLodzLegion,LuZielKrotka,MpKrakBujaka,MzWarAKrzywo,OpOpoleOsAKr,PdBialPPiech,PkRzeszRejta,PmGdaLeczkow,SkKielTargow,SlKatoKossut,WmOlsPuszkin,WmPuszczaBor,WpPoznSzyman,ZpSzczAndrze
Wskaźnik,IP(PM10),IP(PM10),IP(PM10),IP(PM10),IP(PM10),IP(PM10),IP(PM10),IP(PM10),IP(PM10),IP(PM10),IP(PM10),IP(PM10),IP(PM10),IP(PM10),IP(PM10),IP(PM10),IP(PM10),IP(PM10),IP(PM10)
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
Jednostka,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3
Kod stanowiska,DsOsieczow21-IP(PM10)-24g,DsWrocWybCon-IP(PM10)-24g,KpNaklWawrzy-IP(PM10)-24g,KpZielBoryTu-IP(PM10)-24g,LbLubSliwins-IP(PM10)-24g,LdLodzLegion-IP(PM10)-24g,LuZielKrotka-IP(PM10)-24g,MpKrakBujaka-IP(PM10)-24g,MzWarAKrzywo-IP(PM10)-24g,OpOpoleOsAKr-IP(PM10)-24g,PdBialPPiech-IP(PM10)-24g,PkRzeszRejta-IP(PM10)-24g,PmGdaLeczkow-IP(PM10)-24g,SkKielTargow-IP(PM10)-24g,SlKatoKossut-IP(PM10)-24g,WmOlsPuszkin-IP(PM10)-24g,WmPuszczaBor-IP(PM10)-24g,WpPoznSzyman-IP(PM10)-24g,ZpSzczAndrze-IP(PM10)-24g
01/01/23 12:00,0.2,,3.28,0.68,2.2599999999999998,3.24,,2.81,1.29,0.64,,0.9,0.74,,2.13,0.85,,,0.3
01/02/23 12:00,0.82,0.75,4.38,0.98,0.63,2.3199999999999998,1.1299999999999999,2.39,0.52,1.1499999999999999,,,1.04,2.15,3.52,0.95,0.77,0.89,0.66
01/03/23 12:00,0.82,0.75,4.38,0.98,0.63,2.3199999999999998,1.1299999999999999,2.39,0.52,1.1499999999999999,,,1.04,2.15,3.52,0.95,0.77,0.89,0.66
01/04/23 12:00,0.82,0.75,4.38,0.98,0.63,2.3199999999999998,1.1299999999999999,2.39,0.52,1.1499999999999999,,,1.04,2.15,3.52,0.95,0.77,0.89,0.66
01/05/23 12:00,0.82,0.75,4.38,0.98,0.63,2.3199999999999998,1.1299999999999999,2.39,0.52,1.1499999999999999,,,1.04,2.15,3.52,0.95,0.77,0.89,0.66
01/06/23 12:00,0.82,0.75,4.38,0.98,0.63,2.3199999999999998,1.1299999999999999,2.39,0.52,1.1499999999999999,,,1.04,2.15,3.52,0.95,0.77,0.89,0.66
01/07/23 12:00,0.82,0.75,4.38,0.98,0.63,2.3199999999999998,1.1299999999999999,2.39,0.52,1.1499999999999999,,,1.04,2.15,3.52,0.95,0.77,0.89,0.66
01/08/23 12:00,0.82,0.75,4.38,0.98,0.63,2.3199999999999998,1.1299999999999999,2.39,0.52,1.1499999999999999,,,1.04,2.15,3.52,0.95,0.77,0.89,0.66
01/09/23 12:00,0.4,0.54,5.03,0.99,0.18,2.34,0.85,1.82,0.59,0.86,0.12,,0.92,1.63,2.9,1.1499999999999999,2.79,1.45,0.86
01/10/23 12:00,0.4,0.54,5.03,0.99,0.18,2.34,0.85,1.82,0.59,0.86,0.12,,0.92,1.63,2.9,1.1499999999999999,2.79,1.45,0.86
01/11/23 12:00,0.4,0.54,5.03,0.99,0.18,2.34,0.85,1.82,0.59,0.86,0.12,1.31,0.92,1.63,2.9,1.1499999999999999,2.79,1.45,0.86
01/12/23 12:00,0.4,0.54,5.03,0.99,0.18,2.34,0.85,1.82,0.59,0.86,0.12,1.31,0.92,1.63,2.9,1.1499999999999999,2.79,1.45,0.86
01/13/23 12:00,0.4,0.54,5.03,0.99,0.18,2.34,0.85,1.82,0.59,0.86,0.12,1.31,0.92,1.63,,1.1499999999999999,2.79,1.45,0.86
01/14/23 12:00,0.4,0.54,5.03,0.99,0.18,2.34,0.85,1.82,0.59,0.86,0.12,1.31,0.92,1.63,2.9,1.1499999999999999,2.79,1.45,0.86
01/15/23 12:00,0.4,0.54,5.03,0.99,0.18,2.34,0.85,1.82,0.59,0.86,0.12,1.31,0.92,1.63,,1.1499999999999999,2.79,1.45,0.86
