Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Kod stacji,DsOsieczow21,DsOsieczow21,DsOsieczow21,DsOsieczow21,DsOsieczow21,DsOsieczow21,DsOsieczow21,DsOsieczow21,DsOsieczow21,DsOsieczow21,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,SlGodGliniki,SlGodGliniki,SlGodGliniki,SlGodGliniki,SlGodGliniki,SlGodGliniki,SlGodGliniki,SlGodGliniki,SlGodGliniki,SlGodGliniki,SlZlotPotLes,SlZlotPotLes,SlZlotPotLes,SlZlotPotLes,SlZlotPotLes,SlZlotPotLes,SlZlotPotLes,SlZlotPotLes,SlZlotPotLes,SlZlotPotLes,WmPuszczaBor,WmPuszczaBor,WmPuszczaBor,WmPuszczaBor,WmPuszczaBor,WmPuszczaBor,WmPuszczaBor,WmPuszczaBor,WmPuszczaBor,WmPuszczaBor
Wskaźnik,Ca2+(PM2.5),Cl_(PM2.5),EC(PM2.5),K+(PM2.5),Mg2+(PM2.5),Na+(PM2.5),NH4+(PM2.5),NO3_(PM2.5),OC(PM2.5),SO42_(PM2.5),Ca2+(PM2.5),Cl_(PM2.5),EC(PM2.5),K+(PM2.5),Mg2+(PM2.5),Na+(PM2.5),NH4+(PM2.5),NO3_(PM2.5),OC(PM2.5),SO42_(PM2.5),Ca2+(PM2.5),Cl_(PM2.5),EC(PM2.5),K+(PM2.5),Mg2+(PM2.5),Na+(PM2.5),NH4+(PM2.5),NO3_(PM2.5),OC(PM2.5),SO42_(PM2.5),Ca2+(PM2.5),Cl_(PM2.5),EC(PM2.5),K+(PM2.5),Mg2+(PM2.5),Na+(PM2.5),NH4+(PM2.5),NO3_(PM2.5),OC(PM2.5),SO42_(PM2.5),Ca2+(PM2.5),Cl_(PM2.5),EC(PM2.5),K+(PM2.5),Mg2+(PM2.5),Na+(PM2.5),NH4+(PM2.5),NO3_(PM2.5),OC(PM2.5),SO42_(PM2.5)
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
Jednostka,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3
Kod stanowiska,DsOsieczow21-Ca2+(PM2.5)-24g,DsOsieczow21-Cl_(PM2.5)-24g,DsOsieczow21-EC(PM2.5)-24g,DsOsieczow21-K+(PM2.5)-24g,DsOsieczow21-Mg2+(PM2.5)-24g,DsOsieczow21-Na+(PM2.5)-24g,DsOsieczow21-NH4+(PM2.5)-24g,DsOsieczow21-NO3_(PM2.5)-24g,DsOsieczow21-OC(PM2.5)-24g,DsOsieczow21-SO42_(PM2.5)-24g,KpZielBoryTu-Ca2+(PM2.5)-24g,KpZielBoryTu-Cl_(PM2.5)-24g,KpZielBoryTu-EC(PM2.5)-24g,KpZielBoryTu-K+(PM2.5)-24g,KpZielBoryTu-Mg2+(PM2.5)-24g,KpZielBoryTu-Na+(PM2.5)-24g,KpZielBoryTu-NH4+(PM2.5)-24g,KpZielBoryTu-NO3_(PM2.5)-24g,KpZielBoryTu-OC(PM2.5)-24g,KpZielBoryTu-SO42_(PM2.5)-24g,SlGodGliniki-Ca2+(PM2.5)-24g,SlGodGliniki-Cl_(PM2.5)-24g,SlGodGliniki-EC(PM2.5)-24g,SlGodGliniki-K+(PM2.5)-24g,SlGodGliniki-Mg2+(PM2.5)-24g,SlGodGliniki-Na+(PM2.5)-24g,SlGodGliniki-NH4+(PM2.5)-24g,SlGodGliniki-NO3_(PM2.5)-24g,SlGodGliniki-OC(PM2.5)-24g,SlGodGliniki-SO42_(PM2.5)-24g,SlZlotPotLes-Ca2+(PM2.5)-24g,SlZlotPotLes-Cl_(PM2.5)-24g,SlZlotPotLes-EC(PM2.5)-24g,SlZlotPotLes-K+(PM2.5)-24g,SlZlotPotLes-Mg2+(PM2.5)-24g,SlZlotPotLes-Na+(PM2.5)-24g,SlZlotPotLes-NH4+(PM2.5)-24g,SlZlotPotLes-NO3_(PM2.5)-24g,SlZlotPotLes-OC(PM2.5)-24g,SlZlotPotLes-SO42_(PM2.5)-24g,WmPuszczaBor-Ca2+(PM2.5)-24g,WmPuszczaBor-Cl_(PM2.5)-24g,WmPuszczaBor-EC(PM2.5)-24g,WmPuszczaBor-K+(PM2.5)-24g,WmPuszczaBor-Mg2+(PM2.5)-24g,WmPuszczaBor-Na+(PM2.5)-24g,WmPuszczaBor-NH4+(PM2.5)-24g,WmPuszczaBor-NO3_(PM2.5)-24g,WmPuszczaBor-OC(PM2.5)-24g,WmPuszczaBor-SO42_(PM2.5)-24g
01/01/23 12:00,2.5999999999999999E-2,0.02,,0.22600000000000001,3.1E-2,5.3999999999999999E-2,0.16400000000000001,0.59799999999999998,,0.72499999999999998,2.7E-2,0.13800000000000001,0.56999999999999995,0.10299999999999999,0.01,5.8999999999999997E-2,0.158,0.79800000000000004,1.79,0.71699999999999997,1.4E-2,0.37,1.37,2E-3,2.4E-2,2E-3,0.91400000000000003,1.9930000000000001,5.36,1.6479999999999999,0.111,2.5999999999999999E-2,0.94,0.18099999999999999,1.7999999999999999E-2,2.3E-2,0.47699999999999998,9.8000000000000004E-2,3.81,1.234,2.5999999999999999E-2,8.6999999999999994E-2,0.43,0.14699999999999999,2.3E-2,9.1999999999999998E-2,0.54500000000000004,0.70299999999999996,3.08,0.88600000000000001
01/02/23 12:00,2.5999999999999999E-2,0.02,0.64800000000000002,0.22600000000000001,3.1E-2,5.3999999999999999E-2,0.16400000000000001,0.59799999999999998,3.032,0.72499999999999998,4.1000000000000002E-2,0.16600000000000001,,0.157,1.7000000000000001E-2,0.13500000000000001,0.30299999999999999,1.6890000000000001,,1.262,3.9E-2,,,2E-3,5.0000000000000001E-4,2E-3,1.446,1.8420000000000001,,1.651,0.01,3.1E-2,,0.111,0.01,0.01,0.65100000000000002,1.1479999999999999,,1.2490000000000001,2.1000000000000001E-2,0.11799999999999999,0.3,0.13100000000000001,2.1999999999999999E-2,0.115,0.871,1.3859999999999999,1.85,1.2989999999999999
01/03/23 12:00,2.5999999999999999E-2,0.02,,0.22600000000000001,3.1E-2,5.3999999999999999E-2,0.16400000000000001,0.59799999999999998,,0.72499999999999998,4.1000000000000002E-2,0.16600000000000001,0.15,0.157,1.7000000000000001E-2,0.13500000000000001,0.30299999999999999,1.6890000000000001,0.4,1.262,3.9E-2,,2.12,2E-3,5.0000000000000001E-4,2E-3,1.446,1.8420000000000001,12.57,1.651,0.01,3.1E-2,0.84,0.111,0.01,0.01,0.65100000000000002,1.1479999999999999,4.2,1.2490000000000001,2.1000000000000001E-2,0.11799999999999999,0.28000000000000003,0.13100000000000001,2.1999999999999999E-2,0.115,0.871,1.3859999999999999,1.43,1.2989999999999999
01/04/23 12:00,2.5999999999999999E-2,0.02,0.69099999999999995,0.22600000000000001,3.1E-2,5.3999999999999999E-2,0.16400000000000001,0.59799999999999998,3.5710000000000002,0.72499999999999998,4.1000000000000002E-2,0.16600000000000001,,0.157,1.7000000000000001E-2,0.13500000000000001,0.30299999999999999,1.6890000000000001,,1.262,3.9E-2,,,2E-3,5.0000000000000001E-4,2E-3,1.446,1.8420000000000001,,1.651,0.01,3.1E-2,,0.111,0.01,0.01,0.65100000000000002,1.1479999999999999,,1.2490000000000001,2.1000000000000001E-2,0.11799999999999999,0.33,0.13100000000000001,2.1999999999999999E-2,0.115,0.871,1.3859999999999999,1.91,1.2989999999999999
01/05/23 12:00,2.5999999999999999E-2,0.02,,0.22600000000000001,3.1E-2,5.3999999999999999E-2,0.16400000000000001,0.59799999999999998,,0.72499999999999998,4.1000000000000002E-2,0.16600000000000001,0.16,0.157,1.7000000000000001E-2,0.13500000000000001,0.30299999999999999,1.6890000000000001,0.91,1.262,3.9E-2,1.4910000000000001,0.42,2E-3,5.0000000000000001E-4,2E-3,1.446,1.8420000000000001,1.75,1.651,0.01,3.1E-2,0.44,0.111,0.01,0.01,0.65100000000000002,1.1479999999999999,2.08,1.2490000000000001,2.1000000000000001E-2,0.11799999999999999,0.62,0.13100000000000001,2.1999999999999999E-2,0.115,0.871,1.3859999999999999,3.21,1.2989999999999999
