Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Kod stacji,DsGlogWiStwo,DsLegAlRzecz,DsOsieczow21,DsPolKasztan,DsWalbrzWyso,DsWrocWybCon,KpBydWarszaw,KpNaklWawrzy,KpToruDziewu,KpWloclGniaz,KpZielBoryTu,LbChelmPolan,LbLubSliwins,LdLodzLegion,LdPioTrKraPr,LuGorzKosGdy,LuMiedzyrMOB,LuNowaSolKos,LuWsKaziWiel,LuZarySzyman,LuZielKrotka,MpKrakBujaka,MpKrakBulwar,MpKrakWadow,MpTarBitStud,MpTrzebOsZWM,MzOtwoBrzozo,MzPlocKroJad,MzRad25Czerw,MzWarAKrzywo,OpKKozBSmial,OpOpoleOsAKr,PdBialPPiech,PdLomSikorsk,PkKrosKletow,PkMielPogodn,PkRzeszRejta,PmGdaLeczkow,PmLebMalczew,SkKielTargow,SkStaraZlota,SlBielKossak,SlCzestoBacz,SlDabroTysia,SlGodGliniki,SlKatoKossut,SlPszczBoged,SlRybniBorki,SlTarnoLitew,WmElbBazynsk,WmNiTraugutt,WmOlsPuszkin,WmPuszczaBor,WpKaliSawick,WpPleszAlMic,WpPoznSpycha,ZpKoszChopin,ZpSzczAndrze,ZpSzczec1Maj
Wskaźnik,Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10),Ni(PM10)
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
Jednostka,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3,ng/m3
Kod stanowiska,DsGlogWiStwo-Ni(PM10)-24g,DsLegAlRzecz-Ni(PM10)-24g,DsOsieczow21-Ni(PM10)-24g,DsPolKasztan-Ni(PM10)-24g,DsWalbrzWyso-Ni(PM10)-24g,DsWrocWybCon-Ni(PM10)-24g,KpBydWarszaw-Ni(PM10)-24g,KpNaklWawrzy-Ni(PM10)-24g,KpToruDziewu-Ni(PM10)-24g,KpWloclGniaz-Ni(PM10)-24g,KpZielBoryTu-Ni(PM10)-24g,LbChelmPolan-Ni(PM10)-24g,LbLubSliwins-Ni(PM10)-24g,LdLodzLegion-Ni(PM10)-24g,LdPioTrKraPr-Ni(PM10)-24g,LuGorzKosGdy-Ni(PM10)-24g,LuMiedzyrMOB-Ni(PM10)-24g,LuNowaSolKos-Ni(PM10)-24g,LuWsKaziWiel-Ni(PM10)-24g,LuZarySzyman-Ni(PM10)-24g,LuZielKrotka-Ni(PM10)-24g,MpKrakBujaka-Ni(PM10)-24g,MpKrakBulwar-Ni(PM10)-24g,MpKrakWadow-Ni(PM10)-24g,MpTarBitStud-Ni(PM10)-24g,MpTrzebOsZWM-Ni(PM10)-24g,MzOtwoBrzozo-Ni(PM10)-24g,MzPlocKroJad-Ni(PM10)-24g,MzRad25Czerw-Ni(PM10)-24g,MzWarAKrzywo-Ni(PM10)-24g,OpKKozBSmial-Ni(PM10)-24g,OpOpoleOsAKr-Ni(PM10)-24g,PdBialPPiech-Ni(PM10)-24g,PdLomSikorsk-Ni(PM10)-24g,PkKrosKletow-Ni(PM10)-24g,PkMielPogodn-Ni(PM10)-24g,PkRzeszRejta-Ni(PM10)-24g,PmGdaLeczkow-Ni(PM10)-24g,PmLebMalczew-Ni(PM10)-24g,SkKielTargow-Ni(PM10)-24g,SkStaraZlota-Ni(PM10)-24g,SlBielKossak-Ni(PM10)-24g,SlCzestoBacz-Ni(PM10)-24g,SlDabroTysia-Ni(PM10)-24g,SlGodGliniki-Ni(PM10)-24g,SlKatoKossut-Ni(PM10)-24g,SlPszczBoged-Ni(PM10)-24g,SlRybniBorki-Ni(PM10)-24g,SlTarnoLitew-Ni(PM10)-24g,WmElbBazynsk-Ni(PM10)-24g,WmNiTraugutt-Ni(PM10)-24g,WmOlsPuszkin-Ni(PM10)-24g,WmPuszczaBor-Ni(PM10)-24g,WpKaliSawick-Ni(PM10)-24g,WpPleszAlMic-Ni(PM10)-24g,WpPoznSpycha-Ni(PM10)-24g,ZpKoszChopin-Ni(PM10)-24g,ZpSzczAndrze-Ni(PM10)-24g,ZpSzczec1Maj-Ni(PM10)-24g
01/01/23 12:00,0.5,0.5,0.09,0.5,0.5,0.5,0.5,1.52,0.5,0.5,0.02,0.5,0.5,2.06,0.5,,,,,,,1.31,1.29,2.99,0.5,3.3,0.5,,1.29,0.5,,0.5,,,0.5,0.5,0.5,0.5,,,,2.96,1.48,3.34,2.84,3.26,7.06,2.4,4.26,0.5,0.5,0.5,,,,,0.5,0.5,0.5
01/02/23 12:00,0.5,1.04,1.1200000000000001,0.5,1.54,3.43,1.07,0.5,0.5,0.5,0.09,0.5,0.5,0.5,0.5,0.5,,1.34,2.25,1.53,2.5299999999999998,3.02,2.85,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,2.29,,,0.5,0.5,,0.5,0.5,0.5,1.43,0.5,5.0999999999999996,11.81,2.29,1.06,3.68,0.5,4.71,0.5,0.5,0.5,0.36,0.5,,0.5,1.1399999999999999,1.31,1.1100000000000001
01/03/23 12:00,0.5,1.04,1.1200000000000001,0.5,1.54,3.43,1.07,0.5,0.5,0.5,0.09,0.5,0.5,0.5,0.5,0.5,,1.34,2.25,1.53,2.5299999999999998,3.02,2.85,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,2.29,,,0.5,0.5,1.25,0.5,0.5,0.5,1.43,0.5,5.0999999999999996,11.81,2.29,1.06,3.68,0.5,4.71,0.5,0.5,0.5,0.36,0.5,,0.5,1.1399999999999999,1.31,1.1100000000000001
01/04/23 12:00,0.5,1.04,1.1200000000000001,0.5,1.54,3.43,1.07,0.5,0.5,0.5,0.09,0.5,0.5,0.5,0.5,0.5,,1.34,2.25,1.53,2.5299999999999998,3.02,2.85,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,2.29,,,0.5,0.5,1.25,0.5,0.5,0.5,1.43,0.5,5.0999999999999996,11.81,2.29,1.06,3.68,0.5,4.71,0.5,0.5,0.5,0.36,0.5,,0.5,1.1399999999999999,1.31,1.1100000000000001
01/05/23 12:00,,1.04,1.1200000000000001,0.5,1.54,3.43,1.07,0.5,0.5,0.5,0.09,0.5,0.5,0.5,0.5,0.5,,1.34,2.25,1.53,2.5299999999999998,3.02,2.85,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.29,0.5,0.5,0.5,0.5,1.25,0.5,0.5,0.5,1.43,0.5,5.0999999999999996,11.81,2.29,1.06,3.68,0.5,,0.5,0.5,0.5,0.36,0.5,1.58,0.5,1.1399999999999999,1.31,1.1100000000000001
