Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Kod stacji,DsGlogWiStwo,DsLegAlRzecz,DsOsieczow21,DsPolKasztan,DsWalbrzWyso,DsWrocWybCon,KpBydWarszaw,KpNaklWawrzy,KpToruDziewu,KpWloclGniaz,KpZielBoryTu,LbChelmPolan,LbLubSliwins,LdLodzLegion,LdPioTrKraPr,LuGorzKosGdy,LuMiedzyrMOB,LuNowaSolKos,LuWsKaziWiel,LuZarySzyman,LuZielKrotka,MpKrakBujaka,MpKrakBulwar,MpKrakWadow,MpTarBitStud,MpTrzebOsZWM,MzOtwoBrzozo,MzPlocKroJad,MzRad25Czerw,MzWarAKrzywo,OpKKozBSmial,OpOpoleOsAKr,PdBialPPiech,PdLomSikorsk,PkKrosKletow,PkMielPogodn,PkRzeszRejta,PmGdaLeczkow,PmLebMalczew,SkKielTargow,SkStaraZlota,SlBielKossak,SlCzestoBacz,SlDabroTysia,SlGodGliniki,SlKatoKossut,SlPszczBoged,SlRybniBorki,SlTarnoLitew,WmElbBazynsk,WmNiTraugutt,WmOlsPuszkin,WmPuszczaBor,WpKaliSawick,WpPleszAlMic,WpPoznSpycha,ZpKoszChopin,ZpSzczAndrze,ZpSzczec1Maj
Wskaźnik,Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10),Pb(PM10)
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
Jednostka,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3
Kod stanowiska,DsGlogWiStwo-Pb(PM10)-24g,DsLegAlRzecz-Pb(PM10)-24g,DsOsieczow21-Pb(PM10)-24g,DsPolKasztan-Pb(PM10)-24g,DsWalbrzWyso-Pb(PM10)-24g,DsWrocWybCon-Pb(PM10)-24g,KpBydWarszaw-Pb(PM10)-24g,KpNaklWawrzy-Pb(PM10)-24g,KpToruDziewu-Pb(PM10)-24g,KpWloclGniaz-Pb(PM10)-24g,KpZielBoryTu-Pb(PM10)-24g,LbChelmPolan-Pb(PM10)-24g,LbLubSliwins-Pb(PM10)-24g,LdLodzLegion-Pb(PM10)-24g,LdPioTrKraPr-Pb(PM10)-24g,LuGorzKosGdy-Pb(PM10)-24g,LuMiedzyrMOB-Pb(PM10)-24g,LuNowaSolKos-Pb(PM10)-24g,LuWsKaziWiel-Pb(PM10)-24g,LuZarySzyman-Pb(PM10)-24g,LuZielKrotka-Pb(PM10)-24g,MpKrakBujaka-Pb(PM10)-24g,MpKrakBulwar-Pb(PM10)-24g,MpKrakWadow-Pb(PM10)-24g,MpTarBitStud-Pb(PM10)-24g,MpTrzebOsZWM-Pb(PM10)-24g,MzOtwoBrzozo-Pb(PM10)-24g,MzPlocKroJad-Pb(PM10)-24g,MzRad25Czerw-Pb(PM10)-24g,MzWarAKrzywo-Pb(PM10)-24g,OpKKozBSmial-Pb(PM10)-24g,OpOpoleOsAKr-Pb(PM10)-24g,PdBialPPiech-Pb(PM10)-24g,PdLomSikorsk-Pb(PM10)-24g,PkKrosKletow-Pb(PM10)-24g,PkMielPogodn-Pb(PM10)-24g,PkRzeszRejta-Pb(PM10)-24g,PmGdaLeczkow-Pb(PM10)-24g,PmLebMalczew-Pb(PM10)-24g,SkKielTargow-Pb(PM10)-24g,SkStaraZlota-Pb(PM10)-24g,SlBielKossak-Pb(PM10)-24g,SlCzestoBacz-Pb(PM10)-24g,SlDabroTysia-Pb(PM10)-24g,SlGodGliniki-Pb(PM10)-24g,SlKatoKossut-Pb(PM10)-24g,SlPszczBoged-Pb(PM10)-24g,SlRybniBorki-Pb(PM10)-24g,SlTarnoLitew-Pb(PM10)-24g,WmElbBazynsk-Pb(PM10)-24g,WmNiTraugutt-Pb(PM10)-24g,WmOlsPuszkin-Pb(PM10)-24g,WmPuszczaBor-Pb(PM10)-24g,WpKaliSawick-Pb(PM10)-24g,WpPleszAlMic-Pb(PM10)-24g,WpPoznSpycha-Pb(PM10)-24g,ZpKoszChopin-Pb(PM10)-24g,ZpSzczAndrze-Pb(PM10)-24g,ZpSzczec1Maj-Pb(PM10)-24g
01/01/23 12:00,3.5999999999999999E-3,2.8070000000000001E-2,7.2000000000000005E-4,8.8500000000000002E-3,5.64E-3,2.0899999999999998E-3,5.2700000000000004E-3,4.1000000000000003E-3,4.3E-3,4.3299999999999996E-3,3.3E-4,4.2599999999999999E-3,5.2599999999999999E-3,7.0000000000000001E-3,1.0999999999999999E-2,,,,,,,6.5300000000000002E-3,1.1259999999999999E-2,1.261E-2,2.8900000000000002E-3,1.184E-2,5.2100000000000002E-3,,7.79E-3,5.4999999999999997E-3,,1E-3,,,3.5899999999999999E-3,4.1099999999999999E-3,5.3899999999999998E-3,2.5699999999999998E-3,,,,6.3499999999999997E-3,3.2910000000000002E-2,2.9080000000000002E-2,1.6140000000000002E-2,1.983E-2,1.2200000000000001E-2,2.017E-2,3.703E-2,6.1000000000000004E-3,3.3400000000000001E-3,3.29E-3,,,,,1E-3,1E-3,1E-3
01/02/23 12:00,3.0679999999999999E-2,2.325E-2,1.91E-3,2.181E-2,1.0919999999999999E-2,9.5099999999999994E-3,1.1990000000000001E-2,7.9600000000000001E-3,3.31E-3,4.28E-3,1.58E-3,2.5300000000000001E-3,3.3600000000000001E-3,6.3499999999999997E-3,9.2399999999999999E-3,2.6800000000000001E-3,,7.7600000000000004E-3,8.6E-3,1E-3,4.1900000000000001E-3,9.1800000000000007E-3,2.2800000000000001E-2,1.404E-2,4.6699999999999997E-3,1.363E-2,6.6699999999999997E-3,,6.8500000000000002E-3,4.2300000000000003E-3,5.2300000000000003E-3,5.2399999999999999E-3,,,5.9300000000000004E-3,8.6199999999999992E-3,,3.6900000000000001E-3,1.7999999999999999E-2,9.3699999999999999E-3,7.2700000000000004E-3,1.123E-2,2.145E-2,3.7359999999999997E-2,2.3640000000000001E-2,1.958E-2,2.0379999999999999E-2,1.218E-2,1.2449999999999999E-2,5.0699999999999999E-3,2.8300000000000001E-3,2.32E-3,2E-3,1.7690000000000001E-2,,8.8500000000000002E-3,2.5100000000000001E-3,1E-3,3.14E-3
01/03/23 12:00,3.0679999999999999E-2,2.325E-2,1.91E-3,2.181E-2,1.0919999999999999E-2,9.5099999999999994E-3,1.1990000000000001E-2,7.9600000000000001E-3,3.31E-3,4.28E-3,1.58E-3,2.5300000000000001E-3,3.3600000000000001E-3,6.3499999999999997E-3,9.2399999999999999E-3,2.6800000000000001E-3,,7.7600000000000004E-3,8.6E-3,1E-3,4.1900000000000001E-3,9.1800000000000007E-3,2.2800000000000001E-2,1.404E-2,4.6699999999999997E-3,1.363E-2,6.6699999999999997E-3,,6.8500000000000002E-3,4.2300000000000003E-3,5.2300000000000003E-3,5.2399999999999999E-3,,,5.9300000000000004E-3,8.6199999999999992E-3,6.2199999999999998E-3,3.6900000000000001E-3,1.7999999999999999E-2,9.3699999999999999E-3,7.2700000000000004E-3,1.123E-2,2.145E-2,3.7359999999999997E-2,2.3640000000000001E-2,1.958E-2,2.0379999999999999E-2,1.218E-2,1.2449999999999999E-2,5.0699999999999999E-3,2.8300000000000001E-3,2.32E-3,2E-3,1.7690000000000001E-2,,8.8500000000000002E-3,2.5100000000000001E-3,1E-3,3.14E-3
01/04/23 12:00,3.0679999999999999E-2,2.325E-2,1.91E-3,2.181E-2,1.0919999999999999E-2,9.5099999999999994E-3,1.1990000000000001E-2,7.9600000000000001E-3,3.31E-3,4.28E-3,1.58E-3,2.5300000000000001E-3,3.3600000000000001E-3,6.3499999999999997E-3,9.2399999999999999E-3,2.6800000000000001E-3,,7.7600000000000004E-3,8.6E-3,1E-3,4.1900000000000001E-3,9.1800000000000007E-3,2.2800000000000001E-2,1.404E-2,4.6699999999999997E-3,1.363E-2,6.6699999999999997E-3,,6.8500000000000002E-3,4.2300000000000003E-3,5.2300000000000003E-3,5.2399999999999999E-3,,,5.9300000000000004E-3,8.6199999999999992E-3,6.2199999999999998E-3,3.6900000000000001E-3,1.7999999999999999E-2,9.3699999999999999E-3,7.2700000000000004E-3,1.123E-2,2.145E-2,3.7359999999999997E-2,2.3640000000000001E-2,1.958E-2,2.0379999999999999E-2,1.218E-2,1.2449999999999999E-2,5.0699999999999999E-3,2.8300000000000001E-3,2.32E-3,2E-3,1.7690000000000001E-2,,8.8500000000000002E-3,2.5100000000000001E-3,1E-3,3.14E-3
01/05/23 12:00,,2.325E-2,1.91E-3,2.181E-2,1.0919999999999999E-2,9.5099999999999994E-3,1.1990000000000001E-2,7.9600000000000001E-3,3.31E-3,4.28E-3,1.58E-3,2.5300000000000001E-3,3.3600000000000001E-3,6.3499999999999997E-3,9.2399999999999999E-3,2.6800000000000001E-3,,7.7600000000000004E-3,8.6E-3,1E-3,4.1900000000000001E-3,9.1800000000000007E-3,2.2800000000000001E-2,1.404E-2,4.6699999999999997E-3,1.363E-2,6.6699999999999997E-3,3.2799999999999999E-3,6.8500000000000002E-3,4.2300000000000003E-3,5.2300000000000003E-3,5.2399999999999999E-3,1E-3,2.4499999999999999E-3,5.9300000000000004E-3,8.6199999999999992E-3,6.2199999999999998E-3,3.6900000000000001E-3,1.7999999999999999E-2,9.3699999999999999E-3,7.2700000000000004E-3,1.123E-2,2.145E-2,3.7359999999999997E-2,2.3640000000000001E-2,1.958E-2,2.0379999999999999E-2,1.218E-2,,5.0699999999999999E-3,2.8300000000000001E-3,2.32E-3,2E-3,1.7690000000000001E-2,6.5700000000000003E-3,8.8500000000000002E-3,2.5100000000000001E-3,1E-3,3.14E-3
