Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Kod stacji,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu,KpZielBoryTu
Wskaźnik,123trimetylobenzen,124trimetylobenzen,135trimetylobenzen,13butadien,1buten,1penten,2penten,acetylen,C6H6,cis2buten,etan,etylen,etylobenzen,ibutan,iheksan,ioktan,ipentan,izopren,mpksylen,nbutan,nheksan,nheptan,noktan,npentan,oksylen,propan,propen,toluen,trans2buten
Czas uśredniania,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g
Jednostka,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3
Kod stanowiska,KpZielBoryTu-123trimetylobenzen-1g,KpZielBoryTu-124trimetylobenzen-1g,KpZielBoryTu-135trimetylobenzen-1g,KpZielBoryTu-13butadien-1g,KpZielBoryTu-1buten-1g,KpZielBoryTu-1penten-1g,KpZielBoryTu-2penten-1g,KpZielBoryTu-acetylen-1g,KpZielBoryTu-C6H6-1g,KpZielBoryTu-cis2buten-1g,KpZielBoryTu-etan-1g,KpZielBoryTu-etylen-1g,KpZielBoryTu-etylobenzen-1g,KpZielBoryTu-ibutan-1g,KpZielBoryTu-iheksan-1g,KpZielBoryTu-ioktan-1g,KpZielBoryTu-ipentan-1g,KpZielBoryTu-izopren-1g,KpZielBoryTu-mpksylen-1g,KpZielBoryTu-nbutan-1g,KpZielBoryTu-nheksan-1g,KpZielBoryTu-nheptan-1g,KpZielBoryTu-noktan-1g,KpZielBoryTu-npentan-1g,KpZielBoryTu-oksylen-1g,KpZielBoryTu-propan-1g,KpZielBoryTu-propen-1g,KpZielBoryTu-toluen-1g,KpZielBoryTu-trans2buten-1g
01/01/23 01:00,,,,,,,,0.42,0.3,0.17,1.75,0.86,,0.11,,,,0.47,0.08,0.36,,,,,,0.51,,0.17,0.24
01/01/23 02:00,,,,,,,,0.4,0.3,0.11,1.78,0.84,0.12,0.13,,,,0.43,,0.39,,,,,,0.7,,0.19,0.43
01/01/23 03:00,,,,,,,,0.36,0.3,0.17,1.63,0.73,,0.15,,,,0.45,,0.37,,,,,,0.57999999999999996,,0.13,
01/01/23 04:00,,,,,,,,0.35,0.2,0.14000000000000001,1.64,0.62,7.0000000000000007E-2,0.11,,,,0.45,,0.36,0.21,,,,,0.41,,0.15,
01/01/23 05:00,,,,,,,,0.35,0.2,0.15,1.63,0.56999999999999995,,0.11,,,,0.45,,0.34,,,,,,0.49,,0.11,
