Nr,Kod stacji,Kod międzynarodowy,Nazwa stacji,"Stary Kod stacji (o ile inny od aktualnego)",Data uruchomienia,Data zamknięcia,Typ stacji,Typ obszaru,Rodzaj stacji,Województwo,Miejscowość,Adres,WGS84 φ N,WGS84 λ E
1,DsBialka,,Białka,,1990-01-03,2005-12-31,przemysłowa,podmiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Białka,,51.197783,16.117390
2,DsBielGrot,,Bielawa - ul. Grota Roweckiego,,1994-01-02,2003-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Bielawa,ul. Grota Roweckiego 6,50.682510,16.617348
3,DsBogatFrancMOB,PL0602A,Bogatynia Mobil,DsBogatMob,2015-01-01,2015-12-31,tło,miejski,mobilna,DOLNOŚLĄSKIE,Bogatynia,ul. Francuska/Kręta,50.940998,14.916790
4,DsBogChop,PL0315A,Bogatynia - Chopina,,1996-01-01,2013-12-31,przemysłowa,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Bogatynia,ul. Chopina 35,50.905856,14.967175
5,DsBogZatonieMob,PL0576A,Bogatynia - Mobil,,2012-01-01,2012-12-31,przemysłowa,miejski,mobilna,DOLNOŚLĄSKIE,Bogatynia,"ul. Konrada, Zatonie",50.943245,14.913327
6,DsBoleslaMOB,PL0658A,Bolesławiec,,2017-01-01,2018-01-02,tło,miejski,mobilna,DOLNOŚLĄSKIE,Bolesławiec,ul. Juliusza Słowackiego 2,51.263245,15.570354
7,DsBrzegGlog,,Brzeg Głogowski,,1980-01-01,2003-12-31,przemysłowa,pozamiejski,w budynku,DOLNOŚLĄSKIE,Brzeg Głogowski,,51.691438,15.917840
8,DsChojnowKil,PL0185A,"Chojnów,ul.Kilińskiego",,2004-01-06,2005-12-31,tło,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Chojnów,ul. Kilińskiego,51.268889,15.940278
9,DsCzar07,PL0186A,Czarna Góra,,1996-12-01,2008-09-30,tło,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Czarna Góra,,50.255072,16.801641
10,DsCzerStraza,PL0028A,Czerniawa,DsCzer02,1996-07-01,,tło,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Czerniawa,ul. Strażacka 7,50.912475,15.312190
11,DsCzLasMob,PL0599A,Czarny Las - Mobil Mercedes,,2013-01-01,2013-12-31,tło,pozamiejski,mobilna,DOLNOŚLĄSKIE,Czarny Las,,51.541658,16.937064
12,DsDusznikMOB,PL0733A,Duszniki-Zdrój,,2019-01-01,2019-12-31,tło,miejski,mobilna,DOLNOŚLĄSKIE,Duszniki-Zdrój,Sportowa 2a,50.402645,16.393319
13,DsDuszZiel,,Duszniki Zdrój - ul. Zielona,,1993-01-02,2003-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Duszniki-Zdrój,ul. Zielona 23,50.393396,16.382470
14,DsDzialoszyn,PL0054A,Działoszyn,DsDzia01,1996-07-01,2022-12-31,przemysłowa,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Działoszyn,,50.972167,14.941319
15,DsDziePilsud,PL0187A,"Dzierżoniów, ul. Piłsudskiego",DsDzierPilsA,2005-01-01,,tło,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Dzierżoniów,ul. Piłsudskiego 26,50.732817,16.648050
16,DsDzierKras,,Dzierżoniów - ul. Krasickiego,,1986-01-02,2003-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Dzierżoniów,ul. Krasickiego 36,50.726338,16.647286
17,DsGlogMob,PL0625A,Głogów - Wita Stwosza - mobil,,2014-01-01,2014-12-31,tło,miejski,mobilna,DOLNOŚLĄSKIE,Głogów,ul. Wita Stwosza,51.657022,16.097822
18,DsGlogNorw,PL0188A,Głogów - Norwida,,2011-01-01,2014-12-31,tło,miejski,wolnostojący pobornik pyłu,DOLNOŚLĄSKIE,Głogów,ul. Norwida 3,51.657130,16.086188
19,DsGlogNorwArch,,Głogów - Norwida Arch,,1994-01-01,2009-12-31,tło,miejski,wolnostojący pobornik pyłu,DOLNOŚLĄSKIE,Głogów,ul. Norwida 3,51.657152,16.086183
20,DsGlogOrzech,,"Głogów, ul. Orzechowa",,1980-01-01,2003-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Głogów,ul. Orzechowa,51.648546,16.092286
21,DsGlogowko,,Głogówko,,1980-01-01,2003-12-31,przemysłowa,pozamiejski,w budynku,DOLNOŚLĄSKIE,Głogówko,,51.731824,16.097768
22,DsGlogSikor,PL0260A,"Głogów, ul. Sikorskiego",,2003-10-01,2013-12-31,przemysłowa,podmiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Głogów,ul. Żukowicka 1,51.664508,16.040822
23,DsGlogWiStwo,PL0603A,"Głogów, ul. Wita Stwosza",DsGlogWita,2015-01-01,,tło,miejski,wolnostojący pobornik pyłu,DOLNOŚLĄSKIE,Głogów,ul. Wita Stwosza 3,51.657022,16.097822
24,DsGrodziec,,Grodziec Mały,,1980-01-01,2003-12-31,przemysłowa,pozamiejski,w budynku,DOLNOŚLĄSKIE,Grodziec Mały,,51.687496,16.073213
25,DsJasnaSport,PL0316A,Jasna Góra - Sportowa,,1996-01-01,2013-12-31,przemysłowa,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Jasna Góra,ul. Sportowa 13,50.873692,14.954236
26,DsJawDmow,,Jawor - Dmowskiego,,1994-01-03,2003-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Jawor,ul. Dmowskiego 8,51.057121,16.179854
27,DsJaworMOB,PL0734A,Jawor,,2019-01-01,2019-12-31,tło,miejski,mobilna,DOLNOŚLĄSKIE,Jawor,ul. Armii Krajowej 9,51.049212,16.202317
28,DsJedlinaZdrMOB,PL0803A,"Jedlina-Zdrój, ul. Piastowska",,2022-01-13,2023-01-04,tło,miejski,mobilna,DOLNOŚLĄSKIE,Jedlina-Zdrój,Piastowska 6,50.720620,16.349016
29,DsJedlZdroj,,Jedlina Zdrój - Plac Zdrojowy,,1993-01-02,2003-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Jedlina-Zdrój,pl. Zdrojowy 1,50.728378,16.345481
30,DsJelGorOgin,PL0585A,"Jelenia Góra, ul. Ogińskiego",DsJeleniaGoraA,2014-10-20,,tło,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Jelenia Góra,ul. Ogińskiego 6,50.913433,15.765608
31,DsJelGorSoko,PL0586A,"Jelenia Góra, ul. Sokoliki",DsJeleniaGoraPM,2014-01-01,,tło,miejski,wolnostojący pobornik pyłu,DOLNOŚLĄSKIE,Jelenia Góra,ul. Sokoliki 6,50.871214,15.700947
32,DsJelw05,PL0026A,Jeleniów,,1996-07-01,2009-12-31,tło,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Jeleniów,,51.224843,15.232984
33,DsJgCiep,,Jelenia Góra - Cieplice,,1982-01-02,2004-12-31,tło,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Jelenia Góra,ul. Park Zdrojowy,50.862966,15.681788
34,DsJgCiepA,PL0189A,Jelenia Góra - Cieplice (AUT),,2005-01-01,2013-12-31,tło,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Jelenia Góra,ul. Cervi 14,50.861853,15.678761
35,DsJgGrottgeraPM,PL0055A,Jelenia Góra - Grottgera (PM10),,2011-01-01,2011-12-31,tło,miejski,wolnostojący pobornik pyłu,DOLNOŚLĄSKIE,Jelenia Góra,ul. Grottgera 7,50.897497,15.736629
36,DsJgGrottgeraPMArch,,Jelenia Góra - Grottgera (PM10-Arch),,2004-01-05,2009-12-31,tło,miejski,wolnostojący pobornik pyłu,DOLNOŚLĄSKIE,Jelenia Góra,ul. Grottgera 7,50.897497,15.736629
37,DsJgScieg,,Jelenia Góra - Ściegiennego,,1995-01-11,2003-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Jelenia Góra,ul. Ściegiennego 5/7,50.865874,15.679301
38,DsJgWoln,,Jelenia Góra - Wolności,,1993-01-03,2004-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Jelenia Góra,ul. Wolności 139,50.885634,15.717597
39,DsJgZabob,,Jelenia Góra - Zabobrze,,1992-01-04,2006-04-30,tło,miejski,mobilna,DOLNOŚLĄSKIE,Jelenia Góra,ul. Ogińskiego,50.914470,15.764693
40,DsKalinowka,PL0261A,Kalinówka,,2003-01-01,2013-12-31,przemysłowa,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Kalinowka,,51.522600,16.244147
41,DsKamGoraMOB,PL0730A,Kamienna Góra,,2020-01-08,2020-12-30,tło,miejski,mobilna,DOLNOŚLĄSKIE,Kamienna Góra,Wałbrzyska 2c,50.788079,16.035122
42,DsKawice,,Kawice,,2003-01-06,2003-12-31,tło,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Kawice,,51.230833,16.428889
43,DsKgMob,,Kamienna Góra - Mobil Horiba,,2008-01-01,2008-05-05,tło,miejski,mobilna,DOLNOŚLĄSKIE,Kamienna Góra,ul. Szpitalna,50.786873,16.029129
44,DsKgSien,,Kamienna Góra - Sienkiewicza,,1995-01-04,2003-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Kamienna Góra,ul. Sienkiewicza 5,50.781207,16.029155
45,DsKlodzOkrz,,Kłodzko - ul. Okrzei,,1987-01-02,2005-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Kłodzko,ul. Okrzei 16,50.433389,16.650177
46,DsKlodzSzkol,PL0504A,"Kłodzko, ul. Szkolna",DsKlodzkoA,2009-06-05,,tło,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Kłodzko,ul. Szkolna 8,50.433493,16.653660
47,DsKobierz,,Kobierzyce - Robotnicza,,2003-01-30,2003-12-31,tło,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Kobierzyce,ul. Robotnicza 19,50.968056,16.928056
48,DsKostrzaMOB,PL0777A,Kostrza,DsZabkowSemi,2021-01-23,2021-12-31,przemysłowa,podmiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Kostrza,ul. Żeromskiego 22,50.981906,16.266522
49,DsKowMaj,,Kowary - 1-go Maja,,2001-01-15,2002-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Kowary,ul. 1 Maja 1,50.793145,15.835843
50,DsKozDoly,,Kozie Doły,,1980-01-01,2003-12-31,przemysłowa,pozamiejski,w budynku,DOLNOŚLĄSKIE,Kozie Doły,,51.727524,16.025971
